accession_no,cik,ticker,filed_at_dt,abn_ret_3d,sentiment_label_3d
0000315213-19-000010,315213,RHI,2019-11-07,-0.00928496104602905,-1
0000318300-19-000125,318300,PEBO,2019-04-12,-0.0035806411019349005,0
0000318300-19-000185,318300,PEBO,2019-07-23,-0.011239399769025549,-1
0000318300-19-000239,318300,PEBO,2019-10-28,-0.006420259463087552,0
0000320193-19-000073,320193,AAPL,2019-07-30,-0.04695989242543208,-1
0000350894-19-000004,350894,SEIC,2019-01-30,0.0353235707903925,1
0000351569-19-000011,351569,ABCB,2019-05-06,0.001737581023944168,0
0000351998-19-000002,351998,DAIO,2019-01-15,0.043578340346865474,1
0000353184-19-000050,353184,AIRT,2019-11-14,0.08153978129190953,1
0000354950-19-000020,354950,HD,2019-05-21,0.032838860707197326,1
0000357173-19-000057,357173,OSBC,2019-09-23,-0.001615096907815139,0
0000706863-19-000002,706863,UNB,2019-01-16,0.038517954869638604,1
0000707549-19-000120,707549,LRCX,2019-08-14,0.020780144544981338,1
0000712034-19-000132,712034,ACCO,2019-05-28,-0.002077342539911542,0
0000712034-19-000172,712034,ACCO,2019-08-07,0.0019183072481551156,0
0000712515-19-000106,712515,EA,2019-08-22,-0.019830178686544797,-1
0000712537-19-000015,712537,FCF,2019-04-23,0.03706585651831307,1
0000714395-19-000002,714395,GABC,2019-01-04,0.010389776634262882,1
0000714395-19-000032,714395,GABC,2019-08-01,0.010241724644207473,1
0000714562-19-000029,714562,THFF,2019-02-08,-0.0012619207491502138,0
0000714562-19-000052,714562,THFF,2019-05-22,0.0305456867692786,1
0000716605-19-000023,716605,PWOD,2019-10-24,0.026987098224766415,1
0000716634-19-000036,716634,RDIB,2019-08-09,0.012176034311637718,1
0000719135-19-000053,719135,APYX,2019-11-12,-0.12311487655072384,-1
0000719220-19-000009,719220,STBA,2019-01-31,0.019178373680844407,1
0000720500-19-000018,720500,ASYS,2019-05-09,-0.027112284811520948,-1
0000721371-19-000019,721371,CAH,2019-02-25,-0.01376522716368267,-1
0000721371-19-000061,721371,CAH,2019-08-08,-0.0170014286090987,-1
0000723612-19-000084,723612,CAR,2019-05-01,-0.023144372011602243,-1
0000723646-19-000050,723646,FRAF,2019-07-12,-0.007417278921295067,0
0000724910-19-000009,724910,NVEC,2019-05-01,-0.001710653126925754,0
0000726601-19-000020,726601,CCBG,2019-07-23,-0.00046692633430556185,0
0000726854-19-000055,726854,CHCO,2019-03-29,-0.0014114134797669209,0
0000726958-19-000130,726958,CASY,2019-12-10,-0.02765114384656686,-1
0000731802-19-000029,731802,ATO,2019-08-07,0.0008990430120318083,0
0000739421-19-000115,739421,CZFS,2019-11-19,0.0004101274124139742,0
0000746515-19-000023,746515,EXPD,2019-05-08,-0.006740302278614552,0
0000749251-19-000014,749251,IT,2019-07-30,-0.035663231323843636,-1
0000763744-19-000103,763744,LCII,2019-10-22,0.005469703559748185,0
0000764065-19-000027,764065,CLF,2019-02-14,0.019745616060667492,1
0000764180-19-000002,764180,MO,2019-01-09,-0.024704465181606294,-1
0000764180-19-000035,764180,MO,2019-04-25,0.01685893517543191,1
0000764478-19-000030,764478,BBY,2019-06-14,0.004090324102287379,0
0000766421-19-000002,766421,ALK,2019-01-14,-0.014119938619884032,-1
0000766421-19-000009,766421,ALK,2019-02-19,-0.013412244656965,-1
0000769397-19-000019,769397,ADSK,2019-04-24,0.009765405484680523,1
0000771266-19-000029,771266,KOPN,2019-03-15,0.0008760976596347003,0
0000784199-19-000002,784199,AORT,2019-02-14,0.08054065062212734,1
0000784199-19-000155,784199,AORT,2019-10-30,0.04125146191998397,1
0000788965-19-000030,788965,HNRG,2019-05-29,-0.005166954079563357,0
0000788965-19-000044,788965,HNRG,2019-10-03,-0.004243729339782787,0
0000789933-19-000046,789933,NC,2019-07-31,-0.013051631711067713,-1
0000796343-19-000132,796343,ADBE,2019-06-18,0.023283058684367308,1
0000799233-19-000033,799233,HTLD,2019-09-10,-0.02200396726847298,-1
0000799292-19-000010,799292,MHO,2019-04-24,0.0065906494453245035,0
0000802481-19-000011,802481,PPC,2019-02-14,0.011210205026334519,1
0000802481-19-000039,802481,PPC,2019-05-02,0.027126875352346924,1
0000805676-19-000073,805676,PRK,2019-06-26,-0.02283793693778302,-1
0000805676-19-000114,805676,PRK,2019-12-05,0.019660627732945635,1
0000813762-19-000003,813762,IEP,2019-02-28,-0.023141466899386787,-1
0000813762-19-000014,813762,IEP,2019-03-18,-0.0028272966171729585,0
0000814676-19-000045,814676,CPSH,2019-09-27,0.022208895516154792,1
0000815556-19-000035,815556,FAST,2019-04-24,-0.012496580688926562,-1
0000818479-19-000040,818479,XRAY,2019-06-26,-0.0067244128714145646,0
0000821483-19-000033,821483,PARR,2019-05-13,-0.03954334616266886,-1
0000821483-19-000044,821483,PARR,2019-11-04,0.0566535394834673,1
0000822416-19-000024,822416,PHM,2019-06-03,0.0003643735125378189,0
0000823277-19-000016,823277,CHSCO,2019-06-05,-0.020584162242255677,-1
0000823277-19-000027,823277,CHSCO,2019-07-29,0.024390753479373917,1
0000825313-19-000010,825313,AB,2019-03-11,-0.006276211655585895,0
0000833079-19-000065,833079,MTH,2019-04-23,-0.0008792091816596237,0
0000833444-19-000043,833444,JCI,2019-08-21,0.015079398336783179,1
0000842518-19-000003,842518,EVBN,2019-02-01,-0.0029940940401390614,0
0000849869-19-000050,849869,SLGN,2019-11-07,0.0003350923786586968,0
0000850429-19-000064,850429,TG,2019-08-08,0.0566187754166384,1
0000855658-19-000110,855658,LSCC,2019-10-29,0.040930130582343294,1
0000866273-19-000119,866273,MTRX,2019-11-07,0.07267011092930975,1
0000866829-19-000011,866829,HLX,2019-03-22,0.015088516843742017,1
0000874238-19-000117,874238,STRL,2019-09-10,0.0025657637091942576,0
0000875045-19-000027,875045,BIIB,2019-07-23,-0.01758682680176571,-1
0000876437-19-000029,876437,MTG,2019-05-23,0.01316318492905122,1
0000877212-19-000027,877212,ZBRA,2019-07-30,-0.007692156744460443,0
0000879526-19-000056,879526,WNC,2019-08-23,-0.008703146846225973,-1
0000883237-19-000109,883237,VRTS,2019-10-25,0.013158155481315825,1
0000884144-19-000013,884144,ASUR,2019-08-08,0.05979956821244803,1
0000884887-19-000033,884887,RCL,2019-06-07,-0.009558986217096277,-1
0000884887-19-000044,884887,RCL,2019-10-30,0.030802305766836513,1
0000885245-19-000032,885245,BKE,2019-09-17,-0.009542262764690279,-1
0000886206-19-000030,886206,FC,2019-11-07,-0.0403809256624128,-1
0000886346-19-000011,886346,KAI,2019-01-02,-0.014079074223953159,-1
0000887343-19-000112,887343,COLB,2019-07-26,0.0009740436434257926,0
0000890564-19-000085,890564,ASGN,2019-11-14,-0.011215470995665777,-1
0000891103-19-000003,891103,MTCH,2019-01-22,0.060383868576277644,1
0000892553-19-000046,892553,GTLS,2019-03-01,0.008160290107518064,1
0000894081-19-000031,894081,ATSG,2019-02-25,-0.07478717446381256,-1
0000894081-19-000146,894081,ATSG,2019-05-10,0.04242402527163369,1
0000894627-19-000018,894627,EGY,2019-04-11,-0.017447165287437283,-1
0000894671-19-000034,894671,OVBC,2019-10-25,0.0297434200210831,1
0000895419-19-000012,895419,WOLF,2019-03-15,0.03634462981838982,1
0000895728-19-000139,895728,EBGEF,2019-08-02,-0.058992884583474736,-1
0000897077-19-000040,897077,ALG,2019-05-01,0.021811305391694846,1
0000897077-19-000162,897077,ALG,2019-12-13,-0.008226041317568433,-1
0000899051-19-000075,899051,ALL-PI,2019-11-21,-0.009942305096469095,-1
0000899715-19-000106,899715,SKT,2019-07-29,-0.006122735338621288,0
0000899751-19-000018,899751,TWI,2019-03-07,0.004478257861543877,0
0000899751-19-000068,899751,TWI,2019-10-08,0.11117940965875528,1
0000908255-19-000010,908255,BWA,2019-02-14,-0.025981059016193075,-1
0000908937-19-000006,908937,SIRI,2019-01-30,0.020164419864489025,1
0000911147-19-000023,911147,CNTY,2019-06-17,-0.04073825805491771,-1
0000911147-19-000038,911147,CNTY,2019-09-25,-0.043500632678204476,-1
0000912061-19-000005,912061,NHTC,2019-01-17,0.0384572236041556,1
0000912562-19-000002,912562,ROCK,2019-01-07,-0.005179736484353548,0
0000912767-19-000002,912767,UFPI,2019-01-02,0.026572149617145602,1
0000915913-19-000045,915913,ALB,2019-05-10,-0.010375394627405443,-1
0000916365-19-000003,916365,TSCO,2019-01-31,0.037416417426129334,1
0000917491-19-000040,917491,FARO,2019-06-18,-0.002217674985488083,0
0000917491-19-000066,917491,FARO,2019-08-27,-0.007791000062354003,0
0000917520-19-000015,917520,IART,2019-03-11,-0.00026237503800619066,0
0000920148-19-000035,920148,LH,2019-03-05,0.021893121462729592,1
0000920148-19-000069,920148,LH,2019-07-25,0.02097551168221634,1
0000922621-19-000037,922621,ERIE,2019-10-24,0.012023655613681017,1
0000924168-19-000040,924168,EFOI,2019-05-21,-0.053863445712922675,-1
0000930420-19-000114,930420,KFRC,2019-05-01,0.0094924520537647,1
0000930420-19-000224,930420,KFRC,2019-09-16,-0.011122277432462191,-1
0000931148-19-000055,931148,EAF,2019-12-09,-0.01888110945842003,-1
0000935703-19-000018,935703,DLTR,2019-03-06,-0.022375910827340362,-1
0000935703-19-000030,935703,DLTR,2019-05-16,-0.007028090353475291,0
0000936468-19-000025,936468,LMT,2019-04-25,0.01621436706075452,1
0000937098-19-000028,937098,TNET,2019-02-14,0.010100441564549145,1
0000937098-19-000180,937098,TNET,2019-07-25,-0.02716800414614373,-1
0000937556-19-000036,937556,MASI,2019-02-26,0.019914542975264737,1
0000945114-19-000038,945114,GIC,2019-07-30,-0.03144723025961438,-1
0000945841-19-000157,945841,POOL,2019-10-31,-0.026865872521734446,-1
0000946673-19-000015,946673,BANR,2019-07-25,0.030451923578323603,1
0000949157-19-000025,949157,CENX,2019-02-21,-0.029053858834584667,-1
0000949157-19-000052,949157,CENX,2019-04-30,0.042465172867731216,1
0001002135-19-000039,1002135,WSTL,2019-08-28,0.01041190674432424,1
0001002638-19-000002,1002638,OTEX,2019-01-31,-0.0028220947015313858,0
0001003078-19-000080,1003078,MSM,2019-03-27,-0.001649245475471961,0
0001003078-19-000146,1003078,MSM,2019-07-10,0.020992548431964186,1
0001003078-19-000221,1003078,MSM,2019-10-24,-0.02879685221742434,-1
0001005229-19-000005,1005229,CMCO,2019-01-31,0.02022902143188343,1
0001006837-19-000097,1006837,VATE,2019-11-08,-0.05574776454042418,-1
0001014473-19-000014,1014473,VRSN,2019-04-25,-0.021625585542393133,-1
0001016281-19-000067,1016281,CSV,2019-05-16,0.03437138334438228,1
0001018399-19-000034,1018399,EBTC,2019-05-10,-0.003920840079668864,0
0001018399-19-000057,1018399,EBTC,2019-10-17,0.0507614065186246,1
0001018840-19-000005,1018840,ANF,2019-01-23,0.042078282471797235,1
0001020859-19-000008,1020859,UNFI,2019-03-05,0.06564411312850393,1
0001021162-19-000112,1021162,TGI,2019-09-09,0.0828831753691357,1
0001023731-19-000090,1023731,EGHT,2019-08-05,0.04206003131990266,1
0001024305-19-000002,1024305,COTY,2019-01-11,0.012722373232996631,1
0001026655-19-000059,1026655,CMT,2019-08-08,-0.03154047677034566,-1
0001032975-19-000063,1032975,LOGI,2019-09-06,-0.009501938593831749,-1
0001035002-19-000002,1035002,VLO,2019-01-31,-0.0015255990138618447,0
0001037976-19-000020,1037976,JLL,2019-03-19,-0.020207781454730567,-1
0001041803-19-000031,1041803,PSMT,2019-07-10,0.09467520831467935,1
0001041803-19-000049,1041803,PSMT,2019-12-10,-0.031654556202931006,-1
0001043277-19-000003,1043277,CHRW,2019-01-29,0.005447153658744153,0
0001043961-19-000006,1043961,PRPO,2019-05-15,-0.08851756735255345,-1
0001045450-19-000087,1045450,EPR-PE,2019-11-25,0.008356127785884793,1
0001046025-19-000141,1046025,HFWA,2019-07-30,-0.025316704149634828,-1
0001046025-19-000165,1046025,HFWA,2019-10-31,0.020275801007688,1
0001046311-19-000029,1046311,CHH,2019-08-06,0.04351349294030682,1
0001047127-19-000038,1047127,AMKR,2019-10-28,-0.14125233453757513,-1
0001051470-19-000151,1051470,CCI,2019-08-08,0.010457363124458885,1
0001053507-19-000029,1053507,AMT,2019-03-07,0.006210237082354242,0
0001056288-19-000006,1056288,FHI,2019-04-26,0.02164224230433287,1
0001057352-19-000063,1057352,CSGP,2019-07-23,0.003466534214330519,0
0001058290-19-000014,1058290,CTSH,2019-05-02,0.017923850673567943,1
0001058623-19-000009,1058623,CMLS,2019-02-26,0.04039415186268758,1
0001058867-19-000006,1058867,GNTY,2019-03-13,-0.01910391725662519,-1
0001062822-19-000005,1062822,LXRX,2019-03-13,0.05554246673909735,1
0001062822-19-000015,1062822,LXRX,2019-05-01,0.1696269238312753,1
0001062822-19-000020,1062822,LXRX,2019-07-31,0.047207107181064245,1
0001065059-19-000028,1065059,LEU,2019-09-30,0.17167597153496028,1
0001065059-19-000037,1065059,LEU,2019-11-07,-0.07173889365077091,-1
0001065280-19-000001,1065280,NFLX,2019-01-03,0.05430227200984694,1
0001065696-19-000031,1065696,LKQ,2019-04-25,-0.007822201911442894,0
0001065696-19-000055,1065696,LKQ,2019-10-07,0.004426159565993348,0
0001069183-19-000144,1069183,AXON,2019-11-07,-0.010112768095662972,-1
0001069202-19-000023,1069202,LII,2019-07-15,-0.03690832767458041,-1
0001069258-19-000035,1069258,KTOS,2019-11-05,0.04947690553146922,1
0001069533-19-000032,1069533,RGCO,2019-06-20,0.006039859491948851,0
0001069533-19-000040,1069533,RGCO,2019-08-07,0.03671468132335898,1
0001069533-19-000054,1069533,RGCO,2019-12-09,0.02292530120133085,1
0001070081-19-000027,1070081,PTCT,2019-05-02,0.07382539896858786,1
0001071739-19-000156,1071739,CNC,2019-12-12,0.03869602342562484,1
0001074902-19-000013,1074902,LCNB,2019-02-20,-0.008623296749450171,-1
0001074902-19-000035,1074902,LCNB,2019-04-24,-0.00020590447990476157,0
0001077183-19-000078,1077183,NEO,2019-05-20,-0.013643417979762873,-1
0001083220-19-000027,1083220,XELB,2019-05-16,0.008892018678785418,1
0001083220-19-000030,1083220,XELB,2019-05-28,-0.030258604194964178,-1
0001084991-19-000011,1084991,NGS,2019-03-18,-0.03987581531733897,-1
0001086222-19-000030,1086222,AKAM,2019-02-12,-0.008288256544896067,-1
0001089063-19-000049,1089063,DKS,2019-06-13,-0.015738699433149872,-1
0001101215-19-000006,1101215,BFH,2019-01-30,0.009647946250736839,1
0001101215-19-000236,1101215,BFH,2019-11-18,0.011571938777865554,1
0001101215-19-000240,1101215,BFH,2019-12-16,0.004303522525887615,0
0001101215-19-000248,1101215,BFH,2019-12-18,0.002648169667438527,0
0001102993-19-000083,1102993,LPSN,2019-06-11,0.005092573617434315,0
0001104485-19-000177,1104485,NOG,2019-12-18,0.054289042441807434,1
0001108524-19-000007,1108524,CRM,2019-03-04,0.004529370344623418,0
0001108524-19-000022,1108524,CRM,2019-06-04,-0.05709573265770651,-1
0001110803-19-000019,1110803,ILMN,2019-04-25,-0.006989106814863533,0
0001114927-19-000008,1114927,FNRN,2019-04-29,0.008539176335411902,1
0001122904-19-000004,1122904,NTGR,2019-01-02,0.010980066705304381,1
0001122904-19-000108,1122904,NTGR,2019-04-24,0.038766453961048164,1
0001123360-19-000010,1123360,GPN,2019-04-26,0.0014453757177079751,0
0001125376-19-000033,1125376,ENSG,2019-02-21,-0.08491207970781622,-1
0001126328-19-000200,1126328,PFG,2019-07-17,-0.0014488147404201346,0
0001130464-19-000038,1130464,BKH,2019-11-04,-0.03707273015329737,-1
0001133421-19-000006,1133421,NOC,2019-01-31,0.018027365329486233,1
0001133421-19-000009,1133421,NOC,2019-02-19,-0.003982523204649979,0
0001133421-19-000050,1133421,NOC,2019-09-19,0.020957438086110614,1
0001136893-19-000059,1136893,FIS,2019-07-24,0.00596734417700473,0
0001137091-19-000002,1137091,PSIX,2019-01-02,-0.11418535956433307,-1
0001144519-19-000061,1144519,BG,2019-12-10,-0.0042806521040166245,0
0001144980-19-000074,1144980,ABG,2019-04-23,-0.0024955220947349144,0
0001163302-19-000086,1163302,X,2019-11-01,0.01730416363653675,1
0001165002-19-000037,1165002,WHG,2019-04-24,-0.06594897199807381,-1
0001166928-19-000007,1166928,WTBA,2019-01-24,0.03147749457383697,1
0001169561-19-000004,1169561,CVLT,2019-01-29,0.013806437826625828,1
0001172052-19-000016,1172052,SAFT,2019-05-22,0.0024466002830902944,0
0001172052-19-000030,1172052,SAFT,2019-10-30,-0.007570961273715593,0
0001173514-19-000072,1173514,HY,2019-07-30,-0.06331820040281388,-1
0001173514-19-000095,1173514,HY,2019-11-26,-0.023895290500357103,-1
0001174922-19-000035,1174922,WYNN,2019-04-09,-0.0001983326727892365,0
0001174922-19-000094,1174922,WYNN,2019-09-12,-0.03860229259523362,-1
0001210708-19-000023,1210708,HSON,2019-06-10,-0.06823318409187662,-1
0001219601-19-000028,1219601,CCK,2019-10-16,0.02376891505820733,1
0001220754-19-000034,1220754,MODV,2019-02-28,-0.06950808135428432,-1
0001230245-19-000118,1230245,PIPR,2019-12-16,-0.022377364445896664,-1
0001239819-19-000041,1239819,LUNA,2019-05-08,-0.001081549014655625,0
0001260221-19-000045,1260221,TDG,2019-12-20,0.0007256765149887823,0
0001261333-19-000073,1261333,DOCU,2019-09-05,0.11747373905939318,1
0001261654-19-000039,1261654,UTI,2019-09-24,0.017649137666028714,1
0001273813-19-000029,1273813,AGO,2019-05-31,-0.011339708673349103,-1
0001275477-19-000063,1275477,BMNM,2019-04-25,-0.04535408853161327,-1
0001289848-19-000036,1289848,HURN,2019-09-16,0.00963915607296395,1
0001289945-19-000042,1289945,SPOK,2019-10-23,0.04873687362256218,1
0001299709-19-000085,1299709,AX,2019-08-06,0.01878215651463344,1
0001303942-19-000031,1303942,BFIN,2019-04-16,-0.01664166748922047,-1
0001303942-19-000034,1303942,BFIN,2019-04-26,0.008667940697744014,1
0001306830-19-000010,1306830,CE,2019-01-28,0.0002507143016703406,0
0001309402-19-000091,1309402,GPRE,2019-05-08,0.031817736787670414,1
0001314727-19-000012,1314727,SONO,2019-02-27,0.011699701732235779,1
0001314727-19-000028,1314727,SONO,2019-08-07,0.11845256619673483,1
0001318568-19-000142,1318568,EVRI,2019-11-05,0.07691671462157945,1
0001319947-19-000050,1319947,DBI,2019-12-10,-0.026668848890252117,-1
0001321732-19-000090,1321732,PEN,2019-08-06,0.012891139432284926,1
0001324424-19-000009,1324424,EXPE,2019-03-21,-0.016790436768764794,-1
0001326160-19-000147,1326160,DUKB,2019-05-08,0.018435301366853896,1
0001328581-19-000079,1328581,BCC,2019-05-02,-0.055396833161509784,-1
0001331875-19-000006,1331875,FNF,2019-02-13,-0.03136646179191449,-1
0001331875-19-000012,1331875,FNF,2019-03-13,-0.02966013873273754,-1
0001334036-19-000003,1334036,CROX,2019-01-14,-0.04510628948138484,-1
0001336917-19-000047,1336917,UA,2019-07-30,-0.049867649089098354,-1
0001336920-19-000010,1336920,LDOS,2019-04-30,0.014306605135424366,1
0001350593-19-000024,1350593,MWA,2019-05-07,0.03669006745030201,1
0001350593-19-000061,1350593,MWA,2019-11-06,-0.003053335813076541,0
0001350593-19-000072,1350593,MWA,2019-12-18,0.0071149921033877295,0
0001352010-19-000032,1352010,EPAM,2019-11-07,0.06104355494441793,1
0001356576-19-000049,1356576,SUPN,2019-12-12,0.010863166379910583,1
0001361538-19-000033,1361538,PRIM,2019-12-12,0.010407636179947888,1
0001364250-19-000025,1364250,DEI,2019-06-10,0.0095927989933422,1
0001364954-19-000227,1364954,CHGG,2019-10-01,0.06379400301352822,1
0001366868-19-000034,1366868,GSAT,2019-04-16,0.011798993064151109,1
0001367859-19-000112,1367859,CZWI,2019-11-04,0.02109442821096552,1
0001368365-19-000042,1368365,MARK,2019-09-27,-0.02541015210289288,-1
0001373715-19-000297,1373715,NOW,2019-11-18,0.01123482642348883,1
0001376139-19-000048,1376139,CVI,2019-07-24,-0.022364664854463534,-1
0001377789-19-000041,1377789,AVNW,2019-08-15,0.0009261455112548056,0
0001379041-19-000063,1379041,EIG,2019-03-21,0.025178398665233637,1
0001379041-19-000092,1379041,EIG,2019-04-26,0.005145866916215103,0
0001381197-19-000042,1381197,IBKR,2019-07-16,0.004072672352272155,0
0001384101-19-000087,1384101,VCYT,2019-06-28,-0.015058764793764445,-1
0001384101-19-000098,1384101,VCYT,2019-07-30,-0.11310731317478573,-1
0001385613-19-000093,1385613,GLRE,2019-09-03,0.09334315052808728,1
0001389050-19-000041,1389050,AROC,2019-04-30,0.020408048420679226,1
0001398987-19-000004,1398987,HOUS,2019-01-08,0.032104914729059186,1
0001399306-19-000005,1399306,BRBL,2019-02-14,-0.08307388147203287,-1
0001401914-19-000034,1401914,DARE,2019-04-22,0.046906269920581334,1
0001401914-19-000084,1401914,DARE,2019-09-09,0.06560202827042327,1
0001403161-19-000020,1403161,V,2019-07-17,-0.0014096508851744183,0
0001408100-19-000152,1408100,KW,2019-11-07,-0.02370710853037894,-1
0001409171-19-000009,1409171,TITN,2019-03-27,-0.013273647742778838,-1
0001412665-19-000077,1412665,MOFG,2019-07-17,0.004213784207419247,0
0001415404-19-000039,1415404,SATS,2019-09-10,0.03436654512189219,1
